player,angle,length,angle_degrees
Pedri,1.4118911,15.79905,80.89540116208327
Pedri,-0.7534941,26.600752,316.8279681819916
Pedri,0.2617135,5.7974133,14.99507899159707
Pedri,-0.8120585,10.610373,313.47247523227566
Pedri,1.6373645,13.529966,93.81407537454828
Pedri,-2.491574,21.480455,217.24332545547142
Pedri,-1.0387199,14.389232,300.4857336337491
Modrić,0.9044497,14.883883,51.821150591873455
Modrić,1.6721429,5.93043,95.80673091276607
Modrić,-2.2516816,10.167104,230.98814751273557
Modrić,0.41704923,8.640602,23.89516072818076
Modrić,2.4127378,3.753665,138.23969301167932
Modrić,-0.43662715,6.621178,334.9831070841745
Modrić,-1.8063413,43.706863,256.5042671498255
Modrić,0.9859187,26.62574,56.48898045302476
Modrić,0.82006633,24.480604,46.986339629782606
Modrić,-1.9425052,18.997368,248.70265035778414
Modrić,-1.1878976,7.7620873,291.93848102628033
Modrić,-2.562146,25.933184,213.19984770367418
Modrić,0.20026417,68.36636,11.474291728690435
Modrić,-2.9516044,5.295281,190.88552508775638
Modrić,-1.456864,20.231165,276.5278414754528
Modrić,-1.1659045,12.946815,293.1985928346895
Modrić,-0.18714581,47.83524,349.27733493344283
Modrić,-0.45577377,11.359577,333.8860865662337
Modrić,-0.6403565,6.3600316,323.3102751662309
Modrić,-1.192925,28.18865,291.6504322243563
Modrić,0.63502675,4.7201695,36.38435265290925
Modrić,-0.10308161,11.661903,354.09385880158646
Modrić,-1.5799704,32.701378,269.4743643244035
Modrić,-1.0230563,11.713667,301.3831918057302
Modrić,-0.47040427,6.618912,333.04782066406756
Modrić,-1.2605019,19.322784,287.77856106177865
Modrić,-1.5385494,12.40645,271.8476128076149
Modrić,1.1311442,27.958899,64.8097886807019
Modrić,-1.6898882,35.350388,263.17653829104046
Modrić,-0.22545837,11.1830225,347.0821869431011
Modrić,0.56050956,11.098198,32.114832164734786
Modrić,-0.8339038,14.583552,312.2208317400785
Modrić,0.8488965,24.5153,48.63818669342729
Modrić,-1.2685238,19.483326,287.31894004810266
Modrić,-1.8498098,19.24422,254.01370555806108
Modrić,-0.12808284,13.309019,352.6613938399506
Modrić,0.74978375,29.788084,42.959444422492034
Modrić,-2.0887837,10.704205,240.3215096742797
Modrić,0.475343,7.6478753,27.235147721087092
Modrić,-0.22082877,15.065855,347.34744348393485
Modrić,-1.5411754,27.011848,271.69715409061354
Modrić,0.66792905,11.46342,38.26951557918254
Modrić,1.3537273,33.895428,77.56286090164025
